T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,Time,Label
49.1,49.0,49.1,49.1,49.2,49.3,49.2,48.9,48.6,48.5,48.5,48.5,48.8,48.8,48.9,49.1,49.3,49.1,48.8,48.6,48.6,48.8,49.0,49.1,46.9,41.1,36.4,32.4,28.1,27.1,26.8,26.7,27.1,29.3,32.6,40.8,67.6,67.8,68.5,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,58.5,51.2,33,0
49.1,48.9,48.9,50.4,51.6,52.3,52.0,50.9,51.1,52.1,52.6,53.2,52.5,50.1,48.8,49.8,49.1,48.6,48.4,48.3,48.2,48.1,47.6,47.6,48.1,46.8,42.3,33.5,30.6,28.8,27.4,26.6,26.7,28.1,30.6,40.4,43.1,40.9,36.1,29.8,28.3,27.1,26.5,26.4,26.6,26.6,26.6,26.7,26.7,26.7,33,0
48.1,48.1,48.1,48.3,48.8,48.9,48.9,49.1,49.1,48.9,48.7,48.4,47.9,47.9,47.9,47.8,47.4,47.4,47.8,48.3,49.5,49.6,49.6,49.4,48.4,48.1,47.9,48.1,48.2,48.1,45.7,39.5,30.8,30.3,33.0,37.8,63.1,65.1,65.3,65.5,65.6,65.6,65.7,65.7,64.6,57.3,49.9,42.5,31.6,28.9,32,0
46.8,46.9,47.1,47.8,48.1,48.3,48.4,48.9,48.8,48.8,48.6,48.7,48.9,49.0,49.1,49.1,49.3,49.6,49.7,49.3,49.3,49.3,49.4,49.0,49.1,49.6,49.7,39.1,34.6,30.9,29.1,26.9,26.7,26.9,28.6,35.9,48.9,62.2,68.0,68.6,68.7,68.6,68.6,68.7,68.6,68.6,68.6,58.3,50.5,43.2,34,0
53.9,53.8,53.3,52.6,52.1,51.1,50.7,50.8,50.7,49.8,50.6,51.9,52.6,53.3,53.4,54.0,55.0,56.1,55.9,55.5,55.5,56.8,56.8,56.7,56.2,55.8,56.1,54.5,49.6,38.5,33.6,30.9,29.1,29.5,31.7,37.8,50.0,70.3,70.7,71.0,71.2,71.3,71.3,71.3,71.3,71.4,71.4,71.4,71.4,63.2,33,0
50.9,51.0,50.2,49.6,49.9,49.1,47.8,49.8,50.5,49.9,48.3,48.2,48.6,48.9,48.9,48.3,47.2,47.2,48.4,48.5,49.4,50.4,49.5,49.4,49.3,49.1,48.9,49.1,44.4,39.0,34.8,28.8,27.5,27.5,29.3,41.3,57.8,66.3,66.4,67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,58.7,50.9,43.6,33,0
52.4,52.6,52.6,52.5,51.8,51.7,51.8,51.8,52.1,52.4,52.8,53.0,52.9,52.6,52.5,52.9,53.3,53.4,53.6,53.7,53.8,53.6,53.5,53.5,53.8,54.2,54.0,53.8,45.8,39.4,34.2,31.1,27.9,27.0,27.1,28.3,35.1,46.2,59.6,68.5,69.1,69.3,69.3,69.3,69.2,69.2,67.3,60.8,45.9,38.9,33,0
52.8,52.4,51.8,50.8,51.0,51.4,51.7,52.8,53.5,54.0,54.3,54.4,54.8,55.0,55.1,55.3,55.3,54.9,54.2,53.0,52.5,52.3,52.6,52.9,52.9,53.2,51.6,41.2,36.3,32.2,29.7,26.9,26.5,27.4,29.2,40.8,53.9,66.0,68.6,69.1,69.1,69.1,69.1,69.1,69.1,65.4,58.1,43.2,36.8,32.3,33,0
54.8,54.7,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.5,54.5,54.4,52.7,51.9,52.6,52.0,47.6,42.3,31.8,29.3,27.9,26.8,25.6,25.6,25.6,25.7,25.8,25.8,25.9,25.9,30.8,37.3,52.5,65.3,66.4,66.7,66.8,66.8,66.7,66.7,66.7,66.7,56.8,49.1,41.8,33,0
47.4,47.3,47.3,47.5,47.7,47.9,48.8,49.1,49.3,49.4,49.1,48.8,48.3,48.1,48.4,49.0,49.6,49.8,48.8,47.9,47.0,46.8,47.9,48.0,48.1,47.5,46.8,46.9,47.4,46.9,39.6,35.5,32.1,29.8,32.9,41.0,56.3,67.8,69.3,69.7,69.8,69.8,69.7,69.8,69.8,69.8,66.6,60.2,52.6,45.7,33,0
49.6,49.3,49.1,49.1,49.1,49.2,49.9,50.1,50.4,50.9,51.4,51.8,51.8,51.6,51.9,51.9,52.1,52.3,52.3,52.0,51.6,51.2,50.3,49.6,49.5,49.6,49.4,49.9,47.9,42.9,33.2,30.1,28.3,27.7,31.9,41.1,54.9,65.9,67.6,67.8,67.8,67.7,67.8,67.8,66.6,59.3,44.9,37.7,32.9,29.9,33,0
49.8,50.1,50.5,50.4,50.1,49.9,49.8,49.5,49.3,49.0,48.9,49.2,49.7,50.1,50.4,50.4,50.3,50.3,50.3,50.4,50.4,49.9,49.1,48.0,48.6,48.4,43.3,33.3,30.3,28.7,27.6,26.6,26.6,27.5,29.6,43.9,57.8,67.1,67.6,68.3,68.4,68.3,68.3,68.4,68.3,64.7,57.4,42.5,36.6,32.5,31,0
52.7,52.5,52.3,51.8,52.6,52.3,52.1,52.8,52.6,50.9,50.0,51.2,50.9,50.6,50.3,50.1,50.3,50.4,50.8,50.9,50.8,50.8,50.6,50.6,50.6,50.6,50.8,46.1,40.7,35.9,32.1,28.2,27.2,27.4,28.7,37.1,49.9,63.5,67.8,68.4,68.5,68.4,68.4,68.4,68.4,68.4,68.4,57.3,50.1,43.4,33,0
